canonical_name,aliases,manufacturers,unitPrice
paracetamol,"pcm,panadol,paracetamol,paracitamol,penadene,calpol,fevastin,metacin,tempra,tylenol,dolo,dolo650,para,acetaminophen,p500,panadeine,pamol,crocin,calpo,disprol,medinol,hedex,panadol extra,panadol advance,panadol cf,panadol night,panado,panamax,acamol,feverall,ofirmev,paramal,paracetamol 500mg,paracetamol 650mg,paramol,pcm 500","GSK (Panadol), Johnson & Johnson (Calpol/Tylenol), Micro Labs (Dolo), Glaxo (Fevastin), Local SL",15.00
amoxicillin,"amox,amoxil,trimox,novamox,moxatag,amoxycillin,amoxilin,amoksilin,amoxi,amoxicare,wymox,ospamox,hiconcil,flemoxin,amoxiclav,clavamox,co-amoxiclav,amoxyl,amoxil 500,amoxicillin 500mg","GSK (Amoxil), Cipla (Novamox), Ranbaxy, Beecham, Sandoz",35.00
amoxicillin clavulanate,"augmentin,augmentin duo,augmentin es,clavulin,amoxyclav,amoclav,clavam,amoxicillin-clavulanate,co-amoxiclav,clavamox,synermox,augmentin 625,augmentin 375","GSK (Augmentin), Cipla, Ranbaxy, Sun Pharma",145.00
ibuprofen,"brufen,ibugesic,advil,nurofen,ibu,motrin,ibuprofeno,combiflam,ibuclin,ibumax,nurofen plus,ibuprofen lysine,caldolor,neurofen,ibufen,ibular,librofem,solpaflex,fenpaed,brufen 400,ibuprofen 400mg,ibuprofen 200mg","Boots (Nurofen), Pfizer (Advil), Abbott (Brufen), Johnson & Johnson (Motrin)",20.00
metformin,"glucophage,metforal,glycomet,glucomin,metfor,diabex,fortamet,riomet,glumetza,obimet,gluformin,diaformin,metfogamma,glucomet,metmin,formet,carbophage,metformin 500mg,metformin 850mg,metformin 1000mg","Merck (Glucophage), USV (Glycomet), Sun Pharma, Cipla",28.00
atorvastatin,"lipitor,atorva,storvas,tonact,atorin,aztor,lipvas,torvast,atorlip,atorvox,atocor,lipidil,sortis,atorvastatine,lipostat,atorvastatin 10mg,atorvastatin 20mg,atorvastatin 40mg","Pfizer (Lipitor), Cipla (Atorva), Ranbaxy (Storvas), Sun Pharma (Tonact)",55.00
omeprazole,"omez,prilosec,losec,omeprazol,omizac,ocid,omesec,omepep,omecap,omepar,omez-d,omeprazole sodium,risek,logastric,mepral,omeprazole 20mg,omeprazole 40mg,risek 20","AstraZeneca (Losec), Dr Reddys (Omez), Cipla (Omizac), Sun Pharma",22.00
esomeprazole,"nexium,neksium,esoz,esomac,esomeprazole magnesium,sompraz,raciper,emanera,nexium 20mg,nexium 40mg","AstraZeneca (Nexium), Sun Pharma (Sompraz), Cipla",85.00
cetirizine,"zyrtec,cetrizine,cetriz,alerid,zyrtec-d,cetzine,reactine,cet,cetirizine hcl,alzytec,zirtin,virlix,cetrine,histazine,cetirizine 10mg,zyrtec 10mg,cetirizine 5mg","UCB (Zyrtec), Cipla (Alerid), GSK, Johnson & Johnson",18.00
salbutamol,"ventolin,asthalin,albuterol,salbu,salbuvent,salmol,aerolin,inhaler,ventolin evohaler,proventil,accuneb,airet,volmax,airomir,salamol,buventol,ventolin inhaler,salbutamol inhaler,salbutamol 100mcg","GSK (Ventolin), Cipla (Asthalin), 3M (Airomir)",320.00
metronidazole,"flagyl,metrogyl,metronid,metro,rozex,metazol,anaeromet,metrozine,flagyl er,nidazole,anaerobyl,trichazole,metronidazole benzoate,metronidazole 400mg,metronidazole 200mg,flagyl 400","Pfizer (Flagyl), J&J (Metrogyl), Cipla, Sun Pharma",12.00
ciprofloxacin,"cifran,cipro,ciprolet,ciplox,ciprobid,ciproflox,ciprobay,ciproxin,quintor,ciproquin,proquin,ciproxina,ciprofloxacin 500mg,ciprofloxacin 250mg,cipro 500","Bayer (Ciprobay/Cipro), Ranbaxy (Cifran), Cipla (Ciplox)",35.00
diclofenac,"voltaren,voveran,diclofenac sodium,diclac,cataflam,fenac,diclon,diclogesic,diclomol,voltarol,dyloject,pennsaid,solaraze,dicloflex,difen,diclofenac 50mg,diclofenac 75mg,voltaren gel","Novartis (Voltaren), Cipla (Voveran/Dicloflex), GSK",18.00
amlodipine,"norvasc,amlovas,amlip,stamlo,amcard,amlodac,amlo,amlodine,amlogard,istin,amlor,amlosafe,amlovask,amlodipine 5mg,amlodipine 10mg,norvasc 5","Pfizer (Norvasc), Cipla (Amlovas), Sun Pharma (Amlip), Dr Reddys",28.00
losartan,"cozaar,losacar,losar,losartas,repace,lortaan,covance,lozar,sartan,losakind,angizaar,lorista,losartan 50mg,losartan 100mg,cozaar 50","Merck (Cozaar), Cipla (Losacar), Sun Pharma (Repace)",45.00
azithromycin,"zithromax,azee,azithral,azicip,azifast,zmax,z-pack,azithro,azithrocin,aziswift,aziwok,zithrocin,azax,toraseptol,azithromycin dihydrate,azithromycin 250mg,azithromycin 500mg,zithromax 500","Pfizer (Zithromax), Cipla (Azee), Ranbaxy (Azithral)",65.00
pantoprazole,"pantop,pantodac,pan,protonix,pantocar,pantocid,pantosec,pantium,pansa,nupenta,acipan,pantoprazole sodium,pantoprazole 40mg,pantoprazole 20mg,pan 40","Wyeth (Protonix), Sun Pharma (Pantop), Dr Reddys (Pantodac)",32.00
enalapril,"vasotec,enacard,envas,enam,enalaprilat,renitec,amprace,glioten,xanef,olivin,pres,enalapril 5mg,enalapril 10mg","Merck (Vasotec/Renitec), Cipla (Envas), Sun Pharma (Enam)",22.00
aspirin,"ecosprin,aspro,disprin,colsprin,asa,cardiopirin,micropirin,cartia,aspirin protect,micropirin,cardioaspirin,lopirin,aspirin cardio,bayer aspirin,bufferin,aspirin 75mg,aspirin 150mg,disprin 300mg,ecosprin 75","Bayer (Aspirin), Reckitt (Disprin), USV (Ecosprin)",10.00
cefalexin,"keflex,cephalexin,cefalex,sporidex,ospexin,keforal,ceporex,ceforal,ialex,ibilex,cefalexin 250mg,cefalexin 500mg","Eli Lilly (Keflex), Cipla (Sporidex), GSK (Ceporex)",28.00
doxycycline,"vibramycin,doxylin,doxin,doryx,monodox,doxy,oracea,doxycap,doxyhexal,periostat,doxytab,doxycycline 100mg,vibramycin 100","Pfizer (Vibramycin), Sun Pharma (Doxin), Cipla",22.00
prednisolone,"predsol,omnacortil,wysolone,deltacortril,pred,prelone,predfoam,minims prednisolone,predstatin,prednisolone 5mg,prednisolone 10mg,prednisolone 20mg","Pfizer, Sun Pharma (Omnacortil), Wyeth (Wysolone)",15.00
ranitidine,"zantac,aciloc,histac,rantac,ranitin,rani,ranitidine hcl,zantac 75,tritec,ranitidine 150mg,ranitidine 300mg","GSK (Zantac), Cipla (Aciloc), Sun Pharma (Histac)",12.00
cotrimoxazole,"bactrim,septrin,cotrim,co-trimoxazole,sulfatrim,septran,bactekod,co-trim,baktar,septrin ds,bactrim ds,cotrimoxazole 480mg","Roche (Bactrim), GSK (Septrin), Cipla (Septran)",18.00
clotrimazole,"canesten,candid,clotri,mycelex,lotrim,canestene,clotrimazole cream,gyno-canesten,canesten cream,clotrimazole 1%","Bayer (Canesten), Glenmark (Candid), Schering",85.00
folic acid,"folicip,folinext,fol,folacin,folvite,folate,folicare,fa,folifer,fefol,folic acid 5mg,folic acid 400mcg","Cipla (Folicip), Sun Pharma, Various generics",8.00
calcium carbonate,"caltrate,calcichew,oscal,tums,calci,calcium,shelcal,calcirol,calcit,calcium-500,oscal 500,calcium carbonate 500mg,shelcal 500","Pfizer (Caltrate), Procter & Gamble (Tums), Elder (Shelcal)",25.00
vitamin d,"cholecalciferol,calcirol,d3,vitamin d3,sunny d,arachitol,vit d,calciferol,devit,calciol,dekristol,colecalciferol,vitamin d3 1000iu,vitamin d3 2000iu","Solvay (Arachitol), Various",45.00
vitamin c,"ascorbic acid,celin,vitcee,vitasafe c,redoxon,ester-c,ascorvit,c-vit,limcee,ascogen,vitamin c 500mg,vitamin c 1000mg","Bayer (Redoxon), Cipla (Celin), Various",20.00
zinc,"zincovit,zinco,zinc sulfate,zincmed,z-mac,zinc plus,zinconia,zevit,zinc 20mg,zinc sulfate 220mg","Apex (Zincovit), Various",15.00
multivitamin,"supradyn,revital,becadexamin,berocca,multibionta,centrum,eurovit,multiforte,polyvitam,dayamineral,vitacap,supradyn tablet,berocca tablet","Bayer (Supradyn/Berocca), Ranbaxy (Revital), Abbott (Centrum)",35.00
